Условие отправки,Раздел,Название,Фраза,,,,,,,,,,,,,,,,,,,,,
"Первое приветственное сообщение, отправляем всем новым клиентом в зависимости от тега, с которым пришел клиент",ТЕСТ MAX,1. Приветствие (sweetgold),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею
,ТЕСТ MAX,1. Приветствие (anna_patriot_4),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею

[photo-https://store.wazzup24.com/1c77d9f0333bd87de7b494c84a86591e2953030d/?filename=ChatGPT%20Image%2015%20июл.%202026%20г.,%2008_25_19.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,1. Приветствие (ПАВЕЛ_ПАТРИОТ_1),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею

[photo-https://store.wazzup24.com/bf2de69311605ba9f3b84b767158722cbf016f6a/?filename=ChatGPT%20Image%2017%20июл.%202026%20г.,%2010_14_34.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,1. Приветствие (ПАВЕЛ_ПАТРИОТ_2),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею

[photo-https://store.wazzup24.com/017f01fc1fbb347a38a9d26e4085e9cabc2aa2b7/?filename=ChatGPT%20Image%2017%20июл.%202026%20г.,%2010_19_26.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,1. Приветствие (ПАВЕЛ_ПАТРИОТ_3),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею

[photo-https://store.wazzup24.com/3a06e18f1d88ef33233d74406bbce17fa0c2a9e4/?filename=ChatGPT%20Image%2026%20июн.%202026%20г.,%2010_28_42.png]",,,,,,,,,,,,,,,,,,,,,
"Отправляем сразу после первого скрипта с приветствием, чтобы продолжить диалог с клиентом",ТЕСТ MAX,1.2 Вопрос после приветствия max,"[Имя], чтобы я могла точно подсказать цену, нужно определиться с дизайном.

Какое имя или фамилию напишем на Вашей кофте?",,,,,,,,,,,,,,,,,,,,,
"Отправляем клиенту после того, как он ответил на вопрос после приветствия, присоеденение",ТЕСТ MAX,2.1 Похвала,"Супер, зафиксировала
Сделаем всё как Вы хотите!",,,,,,,,,,,,,,,,,,,,,
"Отправляем сразу после похвалы, рассказываем про стоимость изделия",ТЕСТ MAX,"2.2 Стоимость (sweetgold, 5990р max)","Стоимость толстовки с термо-принтами со скидкой СЕГОДНЯ - 5 990 рублей (вместо 7.990р)

*Вышивка нитками не входит в стоимость и рассчитывается индивидуально

✅Всю сумму сразу вносить не нужно, есть удобная оплата частями

[photo-https://store.wazzup24.com/ad1907ab062b5b85bfbedc978d4e4b6dd4eff8ea/?filename=4%20(5).png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,"2.2 Стоимость (sweetwhite, 5990р max)","Стоимость толстовки с термо-принтами со скидкой СЕГОДНЯ - 5 990 рублей (вместо 7.990р)

*Вышивка нитками не входит в стоимость и рассчитывается индивидуально

✅Всю сумму сразу вносить не нужно, есть удобная оплата частями

[photo-https://store.wazzup24.com/dfa482e9ea13f5058d65567c58e0ae6298c21067/?filename=3%20(2).png]

[photo-https://store.wazzup24.com/9c44e8e8f148f11029807c08ae24e02a76857777/?filename=ChatGPT%20Image%205%20мая%202026%20г.,%2011_17_01.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,"2.2 Стоимость (sweetgoldZ, 5990р max)","Стоимость толстовки с термо-принтами со скидкой СЕГОДНЯ - 5 990 рублей (вместо 7.990р)

*Вышивка нитками не входит в стоимость и рассчитывается индивидуально

✅Всю сумму сразу вносить не нужно, есть удобная оплата частями

[photo-https://store.wazzup24.com/4750e245f8284359dae4296cb84bd73fc49acd22/?filename=5%20(1).png]

[photo-https://store.wazzup24.com/30925084d21a95f7628f70e907bfe4d50cd0aaf5/?filename=3%20(3).png]

[photo-https://store.wazzup24.com/1830d55ecd31b817fc5fdf98e338de20887491d7/?filename=8%20(3).png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,"2.2 Стоимость (sweetrussia, 5990р max)","Стоимость толстовки с термо-принтами со скидкой СЕГОДНЯ - 5 990 рублей (вместо 7.990р)

*Вышивка нитками не входит в стоимость и рассчитывается индивидуально

✅Всю сумму сразу вносить не нужно, есть удобная оплата частями

[photo-https://store.wazzup24.com/4927e46ca767b9336451a5e2519d57706fbe9b93/?filename=12%20(2).png]
[photo-https://store.wazzup24.com/f2d12138732f3b9575bb84e0a6c6cc117c4f8142/?filename=4%20(1).png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,"2.2 Стоимость (sweetfamily, 5990р max)","Стоимость толстовки с термо-принтами со скидкой СЕГОДНЯ - 5 990 рублей (вместо 7.990р)

*Вышивка нитками не входит в стоимость и рассчитывается индивидуально

✅Всю сумму сразу вносить не нужно, есть удобная оплата частями

[photo-https://store.wazzup24.com/ad1907ab062b5b85bfbedc978d4e4b6dd4eff8ea/?filename=4%20(2).png]
[photo-https://store.wazzup24.com/3327d9eeabf25af872c1ec1efc11891907bdf620/?filename=12%20(4).png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,"2.2 Стоимость (sweetgradient, 5990р max)","Стоимость толстовки с термо-принтами со скидкой СЕГОДНЯ - 5 990 рублей (вместо 7.990р)

*Вышивка нитками не входит в стоимость и рассчитывается индивидуально

✅Всю сумму сразу вносить не нужно, есть удобная оплата частями

[photo-https://store.wazzup24.com/4edf334cdd4975bc258657e4713bbffbe4e04ace/?filename=7%20(1).png]",,,,,,,,,,,,,,,,,,,,,
"Отправляем сразу после цены, и уточняем детали заказа - в какой город нужна доставка",ТЕСТ MAX,2.3 Доставка max,"Одежду шьем индивидуально по Вашим размерам, перед тем, как начать изготовление - обязательно согласуем с Вами электронный макет, чтобы дизайн был ИДЕАЛЬНЫМ именно для Вас! ❤

В какой город нужна будет доставка?",,,,,,,,,,,,,,,,,,,,,
Уточняем детали заказа - цвет изделия,ТЕСТ MAX,3. Цвет свитшота max,"Отлично, в Ваш город доставляем Почтой России или СДЭК (но СДЭК быстрее, надежнее и бюджетнее)
Оплата доставки уже при получении у нас будет

[Имя], какой цвет для свитшота выбираете?

[photo-https://store.wazzup24.com/9faff013de6c433b169524afd4027feef5ad4a4b/?filename=image.png]",,,,,,,,,,,,,,,,,,,,,
"Уточняем детали заказа - размер клиента, рост и вес",ТЕСТ MAX,4. Уточняем размер max,"[Имя], цвет есть! Пожалуйста, назовите вес и рост, чтобы мы смогли точно подобрать размер. Получится сейчас?❤",,,,,,,,,,,,,,,,,,,,,
Рассказываем клиенту про способы оплаты заказа,ТЕСТ MAX,5. Оформление max,"Зафиксировала размер! Теперь об оплате:

Сумма заказа - 

У нас есть 2 варианта оплаты:

1. Можно внести всю сумму и получить подарок на выбор - кепку с нашивкой флага РФ или белую футболку ❤️

2. Частями:
- Первая оплата всего 500 рублей, после которой мы изготавливаем макет Вашего дизайна (правки бесплатные)
- Далее 50% от стоимости заказа для изготовления
- И после 50% от стоимости уже ПРИ ПОЛУЧЕНИИ ЗАКАЗА

Прикрепляю наши отзывы!

Удобно оплатить всю сумму сразу с подарком или сначала 500 рублей?

[photo-https://store.wazzup24.com/41ffe6e72379533d3420a7a7c5f3860d4c093375/?filename=image.png&attachment_type=image]
[photo-https://store.wazzup24.com/6321720be8ccc4b32fb5cb01b8c6283ca38d8a6d/?filename=image.png&attachment_type=image]
[photo-https://store.wazzup24.com/c68525bb32751ed807905fd54ae12ae7d58d03ae/?filename=image.png&attachment_type=image]",,,,,,,,,,,,,,,,,,,,,
Отработка возражений,ТЕСТ MAX,Дорого - из чего складывается цена (max),"[Имя], давайте распишу более подробно, из чего складывается цена☺️

✅У нас свое производство в городе Казань, на нашем счету более 6000 довольных клиентов, мы гордимся нашим качеством

✅Состав наших изделий: вискоза/хлопок - 85%, полиэстер - 15%.
Мы шьём их сами — ткань отбираем лично, всё производство под контролем.

✅Ткань у нас футер, достаточно плотная, мягкая, поэтому изделие очень приятное к телу

✅Индивидуальный принт, учитывая любые ваши пожелания

Сейчас сложно найти что-то стоящее, включающее в себя и качество и красоту! Будет сшито под вас, по вашим размерам, только ваше!☺️

Согласны, что цена оправдана?

[photo-https://store.wazzup24.com/8575626f37f9a704ea78e9b8726264139bc22867/?filename=image.png]

[video-https://store.wazzup24.com/4b538d90ddb69b6afdbe19e8b2b5f0a9a950e537/?filename=14566056856255.mp4]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,Недоверие - наши реквизиты (max),"Ознакомьтесь с нашими реквизитами:

✅ИП Хакимуллин Айдар Ильхамович
Реквизиты
✅ОГРНИП
318169000177309
✅ИНН
165716466071

Отзывы наших клиентов:
https://vk.com/reviews-44440184

✅Наша группа верифицирована. Это значит, что руководитель предоставил все документы и ВКонтакте официально это подтвердил

❤ Оплату принимаем только через официальную систему платежей. Поэтому у Вас будет чек об оплате, возможность обменять товар, примерка и просмотр заказа при получении

Давайте продолжим обсуждение Вашего заказа?

[photo-https://store.wazzup24.com/290d4a3f8bb64d95675a4c1802e6d5afecbba7f8/?filename=image.png]

[photo-https://store.wazzup24.com/9d1da425c7eebb814130d33ee03735b0d26b6667/?filename=image.png]

[video-https://store.wazzup24.com/6b7506ea5f08882e31b1ba159fe160b053a8c85f/?filename=7646937418472.mp4]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,Недоверие - видео со склада (max),"Руководитель для Вас зписал для вас видео со склада

Наши реквизиты на оф. сайте Т-банка: https://www.tbank.ru/business/contractor/legal/318169000177309/

Лично проконтролирую Ваш заказ, мы Вас не подведем. Давайте оформим?

[video-https://store.wazzup24.com/a425386cd16f19eba8dbb5bf5d79fab4b590571c/?filename=-44440184_456240559.mp4]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,"Видео-отзывы (бесплатный макет, max)","Понимаю, цена - важный момент

Поэтому прикладываю видео клиентов, где они показывают толстовки вблизи . Многие именно после просмотра говорили, что цена полностью оправдана.
Материал плотный, не растягивается, не садится, дизайн не трескается.

Давайте сделаем бесплатный макет, чтобы вы сразу понимали, как будет смотреться с Вашим дизайном?

[video-https://store.wazzup24.com/9c380b9e8ff84a7bf48438887ba8dffcbdcda96a/?filename=9215881579226.mp4]

[video-https://store.wazzup24.com/6edab258ef3bb22b3c0b8c3847da8c7ac728e483/?filename=9452648925848.mp4]

[video-https://store.wazzup24.com/0c0e85df02cb06e16df2aaa27de25f995587b439/?filename=9188958341639.mp4]",,,,,,,,,,,,,,,,,,,,,
Пинги клиентов,ТЕСТ MAX,Игнор - жду Вашего ответа (max),"Cижу и жду Вашего ответа...

[photo-https://store.wazzup24.com/ff328562d1c6ac86d23e70872204ea9be7666821/?filename=image.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,Пинг ГС - Вы на связи? (max),[audio-https://store.wazzup24.com/22200e309eb041ee2002f84495b336db540b25c7/?filename=huOMi17OF4uo4DpxdfrF0srhzZceCFqFAGpclihaXtTB0j.ogg],,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,Пинг - футболка в подарок,"Все еще надеюсь, что ответите мне, так как я подготовила вам подарок ❤

Положу классную базовую футболку к заказу, давайте оформим?)

[photo-https://store.wazzup24.com/4e14b8b68a0fc647959865afba4f0071a89e8e98/?filename=image.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,Пинг - не выбрал дизайн (max),"[Имя], если у вас возникли трудности с выбором подходящего текста, могу предложить наши самые популярные варианты

Обычно наши клиенты наносят свои имя/фамилию, либо надписи, фотографии

Какой вариант вам подойдет?)

[photo-https://store.wazzup24.com/d336be9a3ebe4baba862942cb6550034eedafa83/?filename=image.png]",,,,,,,,,,,,,,,,,,,,,
Продажа доп. товаров,ТЕСТ MAX,1. Перед допами (max),"[Имя], начала готовить Ваш заказ на макет)

И кстати, у меня есть несколько идей, как можно сделать изделие еще интереснее и дороже по виду.
Сейчас покажу варианты, а вы скажете - добавляем или оставляем как есть. Только не сердитесь, это моя работа",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,2. Доп. вышивка (max),"[Имя], сейчас у Вас выбран вариант нанесения - принт, но можно улучшить его - добавить вышивку нитками на все изделие или отдельные элементы.

Многие клиенты выбирают комбинированный вариант: часть деталей делают принтом, а например, надписи и герб делают вышивкой. Так изделие выглядит более статусно и объёмно))

Какие детали хотели бы вышивкой сделать?

[photo-https://store.wazzup24.com/d82225dc45c40426d450a29e60d2b8613ecfdc71/?filename=image.png]

[photo-https://store.wazzup24.com/26faef0e09fb7fcf6b93ee46da5ccd0ee740a9b8/?filename=image.png]

[photo-https://store.wazzup24.com/86bde01dad89d26332a35dd1444bcc89c781c55b/?filename=image.png]

[photo-https://store.wazzup24.com/96ba4233142ba6514a3154bd7fde72dcffd45829/?filename=image.png]

[photo-https://store.wazzup24.com/72748c986301ceb4da87461ad3c9cf3391d3fc05/?filename=image.png]

[video-https://store.wazzup24.com/c83b9344ba4a0cb8020362ef94affa2fee579826/?filename=9109926382201.mp4]

[video-https://store.wazzup24.com/bb1788c9192445bcc9a1cd9720f88a9349306235/?filename=9243762952716.mp4]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,4. Доп. принт-градиент (max),"А еще мы можем сделать градиентный принт
Это наша НОВИНКА

Он смотрится оочень красиво, создает интересный эффект на свету и выглядит дороже, чем обычный принт. Также этот принт дольше сохраняет свой вид после множества стирок. Можно сделать в любом цвете.

Стоимость 2590₽, на мой взгляд, отличное дополнение для вашей вещи
Сделаем?

[photo-https://store.wazzup24.com/5b1b6c41f3837fab8807b31ddfdade3dea09e2d9/?filename=image.png]

[photo-https://store.wazzup24.com/8611738c9acf2d7be2a5cbe62c3b30b80f4296c5/?filename=image.png]

[photo-https://store.wazzup24.com/fc0a6feafc918684b3633a4b96529df34d6ff5b4/?filename=image.png]

[photo-https://store.wazzup24.com/06fdaf971c1dacd0bd597df2ed9b2ba301c8edc0/?filename=image.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,5. Доп. шрифт от дизайнера (max),"И не могу не показать шрифты, которыми мы можем украсить надпись

Особое внимание хочу обратить на шрифты от нашего ведущего дизайнера, который разработал их специально под патриотические толстовки!

Они станут отличным дополнением к дизайну, который Вы уже выбрали! По стоимости дизайнерский шрифт всего +590р

Добавим 3 или 4? А может 5 или 6?

[photo-https://store.wazzup24.com/34d0273a80262fc6704a255901f7184f520d346e/?filename=image.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,7. Доп. второе изделие в заказ (max),"Ваш первый макет уже отправлен дизайнеру в работу ✨

Пока он отрисовывается, можем сразу добавить второй макет для близкого человека (муж/жена/ребёнок/друг).

Второе изделие сейчас по спеццене 4590₽, и мы сразу подготовим для него отдельный дизайн: можно в том же стиле или совершенно новый.

Сделать вам второй макет сразу вместе с первым, чтобы дизайнер отрисовал оба варианта?

[photo-https://store.wazzup24.com/2b44fcb3cf773da4dc1367c964771388ff5bb1b3/?filename=image.png]

[photo-https://store.wazzup24.com/665ddd3063307319b429e0572f62ed4600cf1bb5/?filename=image.png]

[photo-https://store.wazzup24.com/58a79b9e528c067a883bf164d486449c89cb8f26/?filename=image.png]

[photo-https://store.wazzup24.com/712fdfe7f9d3a2341187dfd03ab99d338902845c/?filename=image.png]",,,,,,,,,,,,,,,,,,,,,
"Первое приветственное сообщение, отправляем всем новым клиентом в зависимости от тега, с которым пришел клиент












",НОВАЯ ВОРОНКА ОП1,1. Приветствие (худи гербы new),"[Имя], здравствуйте! Меня зовут София, я Ваш персональный менеджер 

У нас Вы можете создать толстовку с любым дизайном: надпись, эмблема, собственный рисунок. Мы готовы воплотить любую Вашу идею!

Особенно ту, что пропитана любовью к родине! ❤

[photo-228420497_456240454]
[photo-228420497_456240168]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,1. Приветствие (свитшот гербы new),"[Имя], здравствуйте! Меня зовут София, я Ваш персональный менеджер 

У нас Вы можете создать толстовку с любым дизайном: надпись, эмблема, собственный рисунок. Мы готовы воплотить любую Вашу идею!

Особенно ту, что пропитана любовью к родине! ❤

[photo-228420497_456240990]
[photo-228420497_456240989]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,1. Приветствие (свитшот герб-орнамент new),"[Имя], здравствуйте! Меня зовут София, я Ваш персональный менеджер

У нас Вы можете создать толстовку с любым дизайном: надпись, эмблема, собственный рисунок. Мы готовы воплотить любую Вашу идею!

Особенно ту, что пропитана любовью к родине! ❤

[photo-228420497_456241027]
[photo-228420497_456241026]
[photo-228420497_456241025]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,1. Приветствие (свитшот герб чб),"[Имя], здравствуйте! Меня зовут София, я Ваш персональный менеджер

У нас Вы можете создать толстовку с любым дизайном: надпись, эмблема, собственный рисунок. Мы готовы воплотить любую Вашу идею!

Особенно ту, что пропитана любовью к родине! ❤

[photo-228420497_456241034]
[photo-228420497_456241033]
[photo-228420497_456241032]",,,,,,,,,,,,,,,,,,,,,
"Отправляем сразу после первого скрипта с приветствием, чтобы продолжить диалог с клиентом",НОВАЯ ВОРОНКА ОП1,1.2 Вопрос после приветствия new,"[Имя], какое имя или фамилию напишем на Вашей кофте?",,,,,,,,,,,,,,,,,,,,,
"Отправляем клиенту после того, как он ответил на вопрос после приветствия, присоеденение",НОВАЯ ВОРОНКА ОП1,2. Похвала,"Супер, зафиксировала
Сделаем всё как Вы хотите!",,,,,,,,,,,,,,,,,,,,,
"Отправляем сразу после похвалы, рассказываем про стоимость изделия



",НОВАЯ ВОРОНКА ОП1,"2.2 Стоимость (худи гербы, 5990р new)","Стоимость толстовки с термо-принтами со скидкой СЕГОДНЯ - 5 990 рублей (вместо 7.380р)

*Вышивка нитками не входит в стоимость, рассчитывается индивидуально

✅Всю сумму сразу вносить не нужно, есть удобная оплата частями

[photo-228420497_456240177]
[photo-228420497_456240178]
[photo-228420497_456240179]
[photo-228420497_456240180]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,"2.2 Стоимость (худи гербы, 6680р new)","Стоимость толстовки с термо-принтами со скидкой СЕГОДНЯ - 6 680 рублей (вместо 7.990р)

*Вышивка нитками не входит в стоимость и рассчитывается индивидуально

✅Всю сумму сразу вносить не нужно, есть удобная оплата частями

[photo-228420497_456240177]
[photo-228420497_456240178]
[photo-228420497_456240179]
[photo-228420497_456240180]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,"2.2 Стоимость (худи парные, 9990р new)","Стоимость одной кофты с термо-принтами со скидкой - 6 490р (вместо 7 990р)

Стоимость комплекта ДВУХ кофт с термо-принтами со скидкой СЕГОДНЯ - 9 990р (вместо 14 460р) 

✅Всю сумму сразу вносить не нужно, есть удобная оплата частями

* Вышивка нитками не входит в стоимость и рассчитывается индивидуально 

[photo-44440184_457361690]
[photo-228420497_456239958]
[photo-228420497_456239957]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,"2.2 Стоимость (свитшот, 5990р new)","Стоимость толстовки с термо-принтами со скидкой СЕГОДНЯ - 5 990 рублей (вместо 7.990р)

*Вышивка нитками не входит в стоимость и рассчитывается индивидуально 

✅Всю сумму сразу вносить не нужно, есть удобная оплата частями

[photo-228420497_456240993]
[photo-228420497_456240991]
[photo-228420497_456240992]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,"2.2 Стоимость (свитшот, 6680р new)","Стоимость толстовки с термо-принтами со скидкой СЕГОДНЯ - 6 680 рублей (вместо 7.990р)

*Вышивка нитками не входит в стоимость и рассчитывается индивидуально

✅Всю сумму сразу вносить не нужно, есть удобная оплата частями

[photo-228420497_456240993]
[photo-228420497_456240991]
[photo-228420497_456240992]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,"2.2 Стоимость (свитшот парные, 9990р new)","Стоимость одной кофты с термо-принтами со скидкой - 6 490р (вместо 7 990р)

Стоимость комплекта ДВУХ кофт с термо-принтами со скидкой СЕГОДНЯ - 9 990р (вместо 14 460р)

✅Всю сумму сразу вносить не нужно, есть удобная оплата частями

* Вышивка нитками не входит в стоимость и рассчитывается индивидуально

[photo-44440184_457367196]
[photo-44440184_457366612]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,"2.2 Стоимость (свитшот герб-орнамент, 5990р new)","Стоимость толстовки с термо-принтами со скидкой СЕГОДНЯ - 5 990 рублей (вместо 7.990р)

*Вышивка нитками не входит в стоимость и рассчитывается индивидуально

✅Всю сумму сразу вносить не нужно, есть удобная оплата частями

[photo-228420497_456241023]
[photo-228420497_456241022]
[photo-228420497_456241024]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,"2.2 Стоимость (свитшот герб чб, 5990р new)","Стоимость толстовки с термо-принтами со скидкой СЕГОДНЯ - 5 990 рублей (вместо 7.990р)

*Вышивка нитками не входит в стоимость и рассчитывается индивидуально

✅Всю сумму сразу вносить не нужно, есть удобная оплата частями

[photo-228420497_456241031]
[photo-228420497_456241030]
[photo-228420497_456241029]",,,,,,,,,,,,,,,,,,,,,
"Отправляем сразу после цены, и уточняем детали заказа - в какой город нужна доставка",НОВАЯ ВОРОНКА ОП1,2.3 Доставка,"Одежду шьем индивидуально по Вашим размерам, перед тем, как начать изготовление - обязательно согласуем с Вами электронный макет, чтобы дизайн был ИДЕАЛЬНЫМ именно для Вас! ❤

В какой город нужна будет доставка?",,,,,,,,,,,,,,,,,,,,,
Уточняем детали заказа - цвет изделия,НОВАЯ ВОРОНКА ОП1,3. Цвет худи,"Отлично, в Ваш город доставляем Почтой России или СДЭК (но СДЭК быстрее, надежнее и бюджетнее) , оплата доставки уже при получении у нас будет 


[Имя], а цвет для худи выберем белый, черный или бежевый? 

[photo-228420497_456240491]",,,,,,,,,,,,,,,,,,,,,
